City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Worcester,US,81.45,overcast clouds,42.3334,-71.8328,Classic Suites & Inns
404,Bonthe,SL,81.18,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
405,Sao Filipe,CV,80.17,few clouds,14.8961,-24.4956,Hotel Xaguate
406,Sikandra,IN,83.77,overcast clouds,26.3667,79.65,Rahi Hotel
408,Westport,US,79.61,broken clouds,41.1415,-73.3579,The Westport Inn
410,Balkhash,KZ,78.84,scattered clouds,46.844,74.9804,Family
411,Hasaki,JP,79.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
413,Palmer,US,81.63,broken clouds,42.1584,-72.3287,Wedgewood Motel
417,Union,US,81.18,overcast clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
420,Lhokseumawe,ID,80.26,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
421,Masagua,GT,85.82,overcast clouds,14.2031,-90.8481,Hotel La Esmeralda
424,Odweyne,SO,85.59,light rain,9.4092,45.064,Eng Hiirey House
425,Chenzhou,CN,82.49,light rain,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
427,Cabatuan,PH,76.8,moderate rain,10.8794,122.486,ROREM'S BOARDING HOUSE
429,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
431,Eyl,SO,77.36,broken clouds,7.9803,49.8164,Amiin Hotel
433,Ranot,TH,83.05,light rain,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
436,Markova,UA,81.99,few clouds,48.6758,24.4138,Vas.VOM
438,Peniche,PT,78.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
446,Bloomfield,US,80.94,few clouds,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
448,Lata,PT,85.05,clear sky,40.1629,-8.3327,Casa Maquia
449,Kaniama,CD,86.07,broken clouds,-7.5667,24.1833,
453,Acandi,CO,84.25,broken clouds,8.5063,-77.2778,Hotel Patio Bonito
454,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
456,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
460,Kailua,US,76.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
461,Puerto Lopez,CO,84.09,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
462,Sioni,GE,80.96,broken clouds,41.9895,45.0239,საოჯახო სასტუმრო სიონში
463,Wanxian,CN,77.31,light rain,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
464,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
465,Ghatampur,IN,82.4,heavy intensity rain,26.1667,80.1667,OYO 46903 Hotel Sai Palace
467,Huambo,AO,79.11,scattered clouds,-12.7761,15.7392,SiSHotel
